Year,Borough,Quarter,DAT,non_DAT
2013,Bronx,1,4699,9181
2013,Brooklyn,1,4572,12491
2013,Manhattan,1,6208,12334
2013,Queens,1,2994,7433
2013,SI,1,617,1151
2013,Bronx,2,4110,9903
2013,Brooklyn,2,5498,12624
2013,Manhattan,2,6200,12929
2013,Queens,2,3439,7613
2013,SI,2,623,1193
2013,Bronx,3,4568,9233
2013,Brooklyn,3,5206,11707
2013,Manhattan,3,6126,12217
2013,Queens,3,3643,7278
2013,SI,3,755,1140
2013,Bronx,4,4244,8838
2013,Brooklyn,4,4998,10489
2013,Manhattan,4,6161,11373
2013,Queens,4,3683,6935
2013,SI,4,788,1085
2014,Bronx,1,4921,9410
2014,Brooklyn,1,5528,10986
2014,Manhattan,1,6544,11664
2014,Queens,1,4019,6902
2014,SI,1,998,1130
2014,Bronx,2,4993,9167
2014,Brooklyn,2,5596,11959
2014,Manhattan,2,6911,11871
2014,Queens,2,4326,6819
2014,SI,2,964,1225
2014,Bronx,3,5023,8977
2014,Brooklyn,3,5388,11761
2014,Manhattan,3,6173,10976
2014,Queens,3,4558,6704
2014,SI,3,722,966
2014,Bronx,4,4017,7541
2014,Brooklyn,4,4105,8496
2014,Manhattan,4,5464,9016
2014,Queens,4,3679,5291
2014,SI,4,557,991
2015,Bronx,1,3759,7474
2015,Brooklyn,1,3852,8394
2015,Manhattan,1,4879,8903
2015,Queens,1,3070,5082
2015,SI,1,492,989
2015,Bronx,2,3937,7574
2015,Brooklyn,2,3893,9287
2015,Manhattan,2,4849,9303
2015,Queens,2,3221,5154
2015,SI,2,467,908
2015,Bronx,3,4176,8223
2015,Brooklyn,3,4363,9613
2015,Manhattan,3,5483,9932
2015,Queens,3,3270,5437
2015,SI,3,569,943
2015,Bronx,4,3521,6820
2015,Brooklyn,4,3751,7870
2015,Manhattan,4,4858,8613
2015,Queens,4,3105,4846
2015,SI,4,549,872
2016,Bronx,1,3420,6850
2016,Brooklyn,1,3608,8168
2016,Manhattan,1,5126,8301
2016,Queens,1,2972,4352
2016,SI,1,502,975
2016,Bronx,2,3494,6579
2016,Brooklyn,2,3409,7777
2016,Manhattan,2,5103,7053
2016,Queens,2,2759,4593
2016,SI,2,514,1101
2016,Bronx,3,3286,6498
2016,Brooklyn,3,3487,7541
2016,Manhattan,3,4993,6723
2016,Queens,3,2506,4336
2016,SI,3,599,1078
2016,Bronx,4,3046,6181
2016,Brooklyn,4,3650,7122
2016,Manhattan,4,4762,6463
2016,Queens,4,2572,4197
2016,SI,4,604,945
2017,Bronx,1,2713,5895
2017,Brooklyn,1,3328,6196
2017,Manhattan,1,4167,6138
2017,Queens,1,2345,3530
2017,SI,1,508,858
2017,Bronx,2,2632,5276
2017,Brooklyn,2,3172,6218
2017,Manhattan,2,4257,6061
2017,Queens,2,2419,3452
2017,SI,2,540,841
2017,Bronx,3,3048,5294
2017,Brooklyn,3,3228,5777
2017,Manhattan,3,4384,5907
2017,Queens,3,2469,3687
2017,SI,3,603,913
2017,Bronx,4,3139,5009
2017,Brooklyn,4,3111,5792
2017,Manhattan,4,4081,6134
2017,Queens,4,2351,3561
2017,SI,4,480,743
2018,Bronx,1,3049,5296
2018,Brooklyn,1,3196,5982
2018,Manhattan,1,3628,6002
2018,Queens,1,2318,3492
2018,SI,1,499,823
2018,Bronx,2,2479,4798
2018,Brooklyn,2,2259,5158
2018,Manhattan,2,2732,4864
2018,Queens,2,1927,3329
2018,SI,2,456,875
2018,Bronx,3,2066,5030
2018,Brooklyn,3,1687,4599
2018,Manhattan,3,2342,4719
2018,Queens,3,1595,3051
2018,SI,3,445,858
2018,Bronx,4,1510,4032
2018,Brooklyn,4,1496,4072
2018,Manhattan,4,1955,4335
2018,Queens,4,1456,2711
2018,SI,4,353,707
2019,Bronx,1,1828,4566
2019,Brooklyn,1,1388,4629
2019,Manhattan,1,2073,4597
2019,Queens,1,1472,2909
2019,SI,1,354,709
2019,Bronx,2,1498,4302
2019,Brooklyn,2,1155,4537
2019,Manhattan,2,1786,4776
2019,Queens,2,1560,3062
2019,SI,2,304,680
2019,Bronx,3,1390,4250
2019,Brooklyn,3,959,4303
2019,Manhattan,3,1701,4352
2019,Queens,3,1317,2898
2019,SI,3,275,688
2019,Bronx,4,1310,3014
2019,Brooklyn,4,856,3337
2019,Manhattan,4,1566,3160
2019,Queens,4,1007,2199
2019,SI,4,202,456
2020,Bronx,1,1716,2349
2020,Brooklyn,1,1492,2456
2020,Manhattan,1,2379,2278
2020,Queens,1,1299,1844
2020,SI,1,378,399
2020,Bronx,2,857,1367
2020,Brooklyn,2,672,1243
2020,Manhattan,2,996,933
2020,Queens,2,602,1252
2020,SI,2,141,192
2020,Bronx,3,580,1375
2020,Brooklyn,3,663,1368
2020,Manhattan,3,948,900
2020,Queens,3,592,1191
2020,SI,3,155,188
2020,Bronx,4,1057,1605
2020,Brooklyn,4,1060,1695
2020,Manhattan,4,1484,1292
2020,Queens,4,846,1393
2020,SI,4,274,230
2021,Bronx,1,1173,1721
2021,Brooklyn,1,1321,1893
2021,Manhattan,1,1940,1436
2021,Queens,1,1003,1502
2021,SI,1,365,265
2021,Bronx,2,876,1388
2021,Brooklyn,2,1092,1702
2021,Manhattan,2,1755,1530
2021,Queens,2,901,1413
2021,SI,2,297,230
2021,Bronx,3,1042,2008
2021,Brooklyn,3,1026,2096
2021,Manhattan,3,1886,2010
2021,Queens,3,911,1809
2021,SI,3,367,320
2021,Bronx,4,1052,2048
2021,Brooklyn,4,1052,2319
2021,Manhattan,4,2021,2125
2021,Queens,4,945,1933
2021,SI,4,354,313
2022,Bronx,1,1336,2660
2022,Brooklyn,1,1111,3047
2022,Manhattan,1,1876,2452
2022,Queens,1,952,2191
2022,SI,1,371,386
2022,Bronx,2,1239,3263
2022,Brooklyn,2,1039,3792
2022,Manhattan,2,1351,3316
2022,Queens,2,916,2723
2022,SI,2,352,532
2022,Bronx,3,1223,3420
2022,Brooklyn,3,972,3368
2022,Manhattan,3,1101,3320
2022,Queens,3,785,2745
2022,SI,3,287,546
2022,Bronx,4,1724,3304
2022,Brooklyn,4,1186,3604
2022,Manhattan,4,1379,3601
2022,Queens,4,1051,2618
2022,SI,4,321,539
